city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Brooklyn,Brooklyn,NY,New York,36047,Kings,40.6501,-73.9496,2736074,15200.5,point,FALSE,TRUE,America/New_York,1,11232 11236 11214 11220 11217 11239 11238 11208 11235 11230 11207 11228 11219 11213 11249 11221 11215 11201 11205 11206 11209 11212 11218 11222 11226 11231 11233 11237 11223 11234 11203 11216 11224 11225 11204 11211 11210 11229 11202 11247 11245 11251 11241 11242 11243 11252 11256,1840034030
Queens,Queens,NY,New York,36081,Queens,40.7498,-73.7976,2405464,8503.7,point,FALSE,TRUE,America/New_York,1,11363 11109 11004 11005 11451 11420 11359 11419 11424 11692 11412 11414 11423 11355 11374 11358 11429 11379 11426 11368 11367 11001 11439 11432 11428 11104 11366 11436 11430 11375 11422 11102 11106 11354 11356 11362 11364 11365 11369 11372 11377 11378 11385 11413 11416 11417 11418 11694 11697 11427 11433 11357 11434 11361 11691 11435 11371 11360 11421 11415 11103 11105 11370 11693 11101 11373 11411 11352 11380 11386 11431 11690 11120 11405 11425 11437 11499 11351 11695,1840034002
Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2201673,2734.3,shape,FALSE,TRUE,America/New_York,1,21287 21251 21233 21213 21226 21239 21205 21207 21209 21210 21212 21214 21215 21218 21201 21202 21230 21231 21225 21223 21216 21229 21217 21206 21211 21224 21203 21270 21281 21297 21263 21264 21273 21275 21278 21279 21290 21298,1840001592
St. Louis,St. Louis,MO,Missouri,29510,St. Louis,38.6359,-90.2451,2129918,1804.9,shape,FALSE,TRUE,America/Chicago,1,63120 63155 63102 63118 63107 63104 63108 63106 63113 63110 63111 63112 63116 63137 63139 63101 63103 63147 63109 63143 63115 63156 63157 63158 63163 63166 63169 63177 63178 63179 63188 63150 63160 63164 63197 63180,1840001651
Orlando,Orlando,FL,Florida,12095,Orange,28.4773,-81.337,1948155,1111.1,shape,FALSE,TRUE,America/New_York,1,32835 32806 32803 32822 32804 32805 32807 32808 32811 32827 32824 32814 32839 32812 32819 32801 32832 32829 32802 32853 32854 32856 32861 32862 32872 32877 32885 32886 32891 32897,1840015099
Indianapolis,Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,1767321,947.4,shape,FALSE,TRUE,America/Indiana/Indianapolis,1,46183 46231 46219 46220 46250 46260 46268 46208 46221 46204 46201 46202 46222 46224 46227 46228 46229 46235 46214 46236 46218 46278 46239 46240 46241 46256 46259 46225 46254 46234 46113 46205 46203 46217 46226 46237 46206 46207 46230 46242 46244 46247 46251 46253 46282 46209 46255 46262 46277 46283 46285 46288 46298 46245,1840030084
Pittsburgh,Pittsburgh,PA,Pennsylvania,42003,Allegheny,40.4397,-79.9763,1729616,2125,shape,FALSE,TRUE,America/New_York,1,15233 15290 15282 15260 15212 15234 15208 15224 15213 15216 15221 15201 15219 15218 15217 15222 15214 15204 15206 15226 15207 15211 15120 15203 15205 15210 15220 15232 15230 15253 15250 15251 15252 15254 15255 15257 15258 15259 15261 15262 15265 15267 15270 15279 15281 15286 15289 15240 15264 15272 15274 15295,1840001254
Cincinnati,Cincinnati,OH,Ohio,39061,Hamilton,39.1413,-84.506,1726642,1542.3,shape,FALSE,TRUE,America/New_York,1,45267 45203 45207 45211 45219 45230 45223 45227 45204 45205 45206 45208 45209 45213 45202 45216 45217 45220 45224 45232 45233 45237 45238 45239 45225 45214 45226 45212 45229 45201 45250 45254 45262 45275 45221 45263 45264 45268 45269 45270 45271 45273 45274 45296 45298 45299 45999,1840003814
Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1238,-94.5541,1714910,626.8,shape,FALSE,TRUE,America/Chicago,1,64109 64166 64120 64137 64147 64158 64101 64102 64105 64167 64111 64165 64131 64110 64155 64139 64156 64119 64053 64106 64153 64133 64146 64145 64126 64163 64164 64108 64123 64124 64125 64127 64117 64118 64130 64132 64134 64128 64138 64151 64157 64161 64116 64114 64129 64112 64136 64149 64113 64154 64121 64141 64148 64171 64188 64195 64196 64162 64170 64179 64180 64184 64187 64197 64198 64999 64191 64199,1840008535
Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4764,-81.6805,1695555,1818.4,shape,FALSE,TRUE,America/New_York,1,44120 44109 44119 44115 44102 44101 44128 44105 44104 44106 44113 44114 44127 44111 44112 44135 44144 44110 44103 44108 44181 44199 44190 44191 44192 44193 44194 44195 44197 44198,1840000596
Manhattan,Manhattan,NY,New York,36061,New York,40.7834,-73.9662,1694263,28653.9,point,FALSE,TRUE,America/New_York,1,10110 10173 10169 10007 10177 10039 10044 10165 10171 10167 10006 10030 10111 10112 10119 10168 10172 10279 10020 10170 10005 10154 10103 10032 10278 10152 10162 10115 10002 10018 10023 10033 10282 10022 10174 10065 10025 10027 10069 10038 10019 10013 10034 10029 10016 10026 10014 10001 10003 10011 10017 10021 10024 10028 10035 10036 10037 10040 10199 10004 10280 10009 10128 10031 10271 10075 10010 10153 10012 10008 10101 10104 10106 10107 10108 10113 10116 10118 10129 10150 10151 10156 10159 10163 10175 10176 10178 10185 10268 10274 10276 10043 10081 10087 10102 10109 10114 10117 10124 10125 10126 10130 10131 10132 10133 10138 10157 10160 10164 10179 10203 10211 10212 10213 10256 10258 10259 10261 10269 10273 10275 10277 10285 10286 10041 10055 10060 10090 10105 10120 10121 10122 10123 10155 10158 10166 10242 10249 10260 10265 10270 10281,1840034000
Columbus,Columbus,OH,Ohio,39049,Franklin,39.9862,-82.9855,1635039,1594.4,shape,FALSE,TRUE,America/New_York,1,43203 43212 43218 43109 43110 43221 43214 43210 43230 43217 43211 43081 43002 43207 43119 43229 43235 43240 43068 43085 43137 43004 43026 43201 43202 43204 43205 43224 43220 43054 43017 43231 43222 43016 43209 43213 43223 43215 43227 43228 43232 43219 43206 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291,1840003760
Charlotte,Charlotte,NC,North Carolina,37119,Mecklenburg,35.2083,-80.8303,1488249,1119.9,shape,FALSE,TRUE,America/New_York,1,28274 28105 28207 28282 28223 28244 28273 28217 28277 28280 28204 28270 28205 28226 28208 28134 28203 28216 28209 28214 28211 28212 28227 28262 28278 28210 28269 28215 28202 28206 28213 28126 28130 28201 28218 28219 28220 28221 28222 28224 28229 28230 28231 28232 28233 28234 28235 28237 28241 28247 28256 28266 28271 28272 28297 28299 28228 28242 28243 28253 28255 28258 28263 28288 28289 28290 28296 28246 28254 28260 28265 28275 28281 28284 28285 28287,1840014557
Bronx,Bronx,NY,New York,36005,Bronx,40.8501,-73.8662,1472654,13356.3,point,FALSE,TRUE,America/New_York,1,10474 10472 10469 10458 10454 10455 10459 10464 10475 10465 10461 10460 10468 10453 10457 10451 10452 10456 10462 10463 10467 10470 10471 10466 10473 11370,1840033999
Virginia Beach,Virginia Beach,VA,Virginia,51810,Virginia Beach,36.7335,-76.0435,1441893,720,shape,FALSE,TRUE,America/New_York,1,23461 23460 23457 23455 23451 23452 23464 23453 23456 23459 23462 23454 23450 23466 23467 23471 23463 23465 23479 23458,1840003871
Jacksonville,Jacksonville,FL,Florida,12031,Duval,30.3322,-81.6749,1335714,505.1,shape,FALSE,TRUE,America/New_York,1,32228 32227 32202 32218 32214 32203 32208 32225 32210 32257 32226 32254 32209 32233 32220 32206 32211 32212 32216 32204 32205 32207 32246 32221 32222 32224 32256 32258 32277 32250 32234 32244 32217 32219 32223 32201 32231 32232 32235 32236 32238 32239 32241 32245 32247 32255 32099 32229,1840015031
Providence,Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,1292041,4022.7,shape,FALSE,TRUE,America/New_York,1,02918 02908 02903 02904 02906 02912 02905 02907 02909 02901 02940 02902,1840003289
Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee,43.0642,-87.9675,1291752,2276.2,shape,FALSE,TRUE,America/Chicago,1,53295 53203 53221 53223 53233 53206 53209 53215 53216 53222 53220 53205 53207 53211 53212 53213 53224 53228 53218 53219 53225 53214 53204 53208 53202 53210 53201 53237 53259 53263 53274 53278 53288 53290 53293,1840003046
Nashville,Nashville,TN,Tennessee,47037,Davidson,36.1715,-86.7842,1201962,560.3,shape,FALSE,TRUE,America/Chicago,1,37072 37013 37027 37213 37238 37232 37138 37210 37215 37209 37212 37208 37205 37221 37080 37211 37216 37218 37220 37228 37076 37115 37189 37206 37207 37204 37143 37203 37214 37217 37201 37219 37011 37116 37202 37222 37224 37229 37230 37234 37235 37236 37240 37241 37242 37243 37246 37250 37227 37244,1840036155
Raleigh,Raleigh,NC,North Carolina,37183,Wake,35.8324,-78.6429,1179118,1230.5,shape,FALSE,TRUE,America/New_York,1,27697 27603 27695 27610 27616 27605 27615 27613 27606 27614 27612 27617 27601 27604 27607 27608 27609 27602 27619 27620 27622 27624 27626 27627 27628 27636 27650 27658 27661 27675 27634 27640 27656 27668 27690 27698 27676,1840014497
Richmond,Richmond,VA,Virginia,51760,Richmond,37.5295,-77.4756,1098457,1477.8,shape,FALSE,TRUE,America/New_York,1,23284 23298 23221 23173 23220 23234 23230 23225 23224 23226 23235 23222 23219 23227 23223 23218 23260 23261 23285 23249 23269 23274 23276 23278 23282 23286 23289 23290 23291 23292 23295 23232,1840001698
Memphis,Memphis,TN,Tennessee,47157,Shelby,35.1087,-89.9663,1037125,824.8,shape,FALSE,TRUE,America/Chicago,1,38131 38132 38122 38128 38152 38111 38141 38127 38113 38117 38116 38104 38106 38108 38126 38133 38134 38103 38114 38115 38107 38112 38018 38125 38119 38120 38118 38016 38105 38109 38088 38101 38124 38130 38137 38157 38168 38173 38174 38175 38177 38181 38182 38184 38186 38187 38190 37501 37544 38136 38145 38148 38150 38151 38159 38161 38163 38166 38188 38193 38194 38197,1840015457
Hartford,Hartford,CT,Connecticut,9110,Capitol,41.7661,-72.6834,990793,2691,shape,FALSE,TRUE,America/New_York,2,06106 06114 06112 06105 06120 06103 06102 06104 06115 06123 06126 06127 06132 06133 06134 06140 06141 06142 06143 06144 06145 06146 06147 06150 06151 06154 06160 06167 06176 06183 06101 06152,1840004773
Louisville,Louisville,KY,Kentucky,21111,Jefferson,38.1663,-85.6485,988018,927.4,shape,FALSE,TRUE,America/Kentucky/Louisville,2,40207 40211 40291 40272 40229 40218 40228 40242 40299 40023 40209 40214 40245 40223 40213 40059 40258 40241 40222 40118 40216 40220 40219 40018 40027 40268 40269 40225 40281 40261,1840030815
Bridgeport,Bridgeport,CT,Connecticut,9120,Greater Bridgeport,41.1918,-73.1954,945974,3584.8,shape,FALSE,TRUE,America/New_York,2,06608 06604 06607 06610 06606 06605 06601 06602,1840004836
Buffalo,Buffalo,NY,New York,36029,Erie,42.9018,-78.8487,934832,2647.3,shape,FALSE,TRUE,America/New_York,2,14216 14207 14208 14201 14220 14210 14214 14222 14206 14202 14203 14209 14212 14213 14215 14204 14211 14205 14240 14233 14263 14264 14267 14269 14270 14272 14273 14276 14280,1840000386
Birmingham,Birmingham,AL,Alabama,1073,Jefferson,33.5279,-86.7971,773997,520.3,shape,FALSE,TRUE,America/Chicago,2,35222 35249 35254 35242 35061 35217 35211 35214 35218 35209 35068 35206 35221 35234 35094 35204 35210 35212 35205 35207 35208 35233 35243 35235 35224 35228 35203 35215 35213 35201 35202 35220 35232 35238 35255 35259 35261 35283 35246 35270 35282 35285 35287 35290 35291 35292 35294 35295 35298,1840006507
Charleston,Charleston,SC,South Carolina,45019,Charleston,32.8168,-79.9687,734681,517.1,shape,FALSE,TRUE,America/New_York,2,29425 29455 29401 29424 29409 29492 29407 29405 29412 29414 29403 29402 29413 29417 29422 29457,1840015163
Rochester,Rochester,NY,New York,36055,Monroe,43.168,-77.6162,697898,2254,shape,FALSE,TRUE,America/New_York,2,14617 14642 14612 14604 14621 14627 14605 14607 14608 14609 14610 14613 14614 14620 14619 14615 14606 14611 14602 14603 14638 14639 14643 14644 14646 14647 14649 14650 14651 14653,1840000373
Cape Coral,Cape Coral,FL,Florida,12071,Lee,26.6443,-81.9957,675797,783.2,shape,FALSE,TRUE,America/New_York,2,33990 33904 33914 33991 33909 33993 33910 33915,1840015130
Dayton,Dayton,OH,Ohio,39113,Montgomery,39.7805,-84.2003,672634,944.8,shape,FALSE,TRUE,America/New_York,2,45428 45423 45405 45410 45424 45402 45469 45404 45414 45419 45420 45403 45409 45377 45417 45406 45432 45401 45490 45412 45422 45481,1840034249
Allentown,Allentown,PA,Pennsylvania,42077,Lehigh,40.5961,-75.4756,644758,2769.2,shape,FALSE,TRUE,America/New_York,2,18109 18103 18101 18104 18102 18105 18001,1840001044
Knoxville,Knoxville,TN,Tennessee,47093,Knox,35.9692,-83.9496,627090,763.3,shape,FALSE,TRUE,America/New_York,2,37929 37902 37920 37919 37921 37917 37909 37912 37916 37918 37922 37923 37914 37915 37924 37901 37927 37928 37939 37950 37995 37996 37997,1840014486
Grand Rapids,Grand Rapids,MI,Michigan,26081,Kent,42.9619,-85.6562,622168,1712,shape,FALSE,TRUE,America/Detroit,2,49507 49508 49505 49546 49506 49503 49504 49501 49514 49515 49523 49588 49502 49555 49599,1840002928
Columbia,Columbia,SC,South Carolina,45079,Richland,34.0378,-80.9036,610536,389.3,shape,FALSE,TRUE,America/New_York,2,29208 29225 29212 29210 29206 29209 29205 29203 29204 29207 29201 29202 29224 29240 29250 29214 29215 29216 29217 29218 29220 29226,1840014730
Albany,Albany,NY,New York,36001,Albany,42.6664,-73.7987,607238,1812.8,shape,FALSE,TRUE,America/New_York,2,12222 12209 12226 12210 12206 12202 12205 12207 12204 12203 12208 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12261 12260,1840000417
Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6105,570091,930.3,shape,FALSE,TRUE,America/Chicago,2,50309 50319 50321 50315 50313 50314 50316 50320 50311 50317 50312 50310 50301 50302 50303 50304 50305 50306 50340 50393 50950 50328 50329 50330 50331 50332 50335 50380 50381 50391 50392 50396 50936 50940 50947 50980 50981 50982 50983 50307 50308 50318 50394 50395,1840007069
New Haven,New Haven,CT,Connecticut,9170,South Central Connecticut,41.3113,-72.9246,567250,2775.4,shape,FALSE,TRUE,America/New_York,2,06519 06510 06513 06512 06515 06511 06501 06502 06503 06505 06506 06507 06508 06509 06520 06521 06530 06531 06532 06533 06534 06535 06536 06540,1840004850
Palm Bay,Palm Bay,FL,Florida,12009,Brevard,27.9631,-80.6593,553332,579.7,shape,FALSE,TRUE,America/New_York,2,32908 32907 32976 32905 32909 32902 32906 32910 32911,1840015094
Akron,Akron,OH,Ohio,39153,Summit,41.0798,-81.5219,537241,1179.8,shape,FALSE,TRUE,America/New_York,2,44303 44304 44320 44302 44319 44325 44312 44307 44308 44310 44301 44311 44314 44313 44306 44305 44309 44334 44315 44316 44317 44326 44328 44396 44398,1840000791
Harrisburg,Harrisburg,PA,Pennsylvania,42043,Dauphin,40.2752,-76.8843,510827,2391.5,shape,FALSE,TRUE,America/New_York,2,17104 17120 17102 17103 17101 17110 17105 17108 17129 17121 17122 17123 17124 17125 17126 17127 17128 17130,1840001288
Worcester,Worcester,MA,Massachusetts,25027,Worcester,42.2705,-71.8079,496386,2139.8,shape,FALSE,TRUE,America/New_York,2,01608 01606 01610 01602 01603 01604 01607 01609 01605 01613 01615 01653 01601 01614 01655,1840000434
Staten Island,Staten Island,NY,New York,36085,Richmond,40.5834,-74.1496,495747,3286.2,point,FALSE,TRUE,America/New_York,2,10309 10302 10311 10307 10310 10306 10305 10312 10301 10303 10314 10308 10304 10313,1840034032
Toledo,Toledo,OH,Ohio,39095,Lucas,41.6638,-83.5827,494010,1283,shape,FALSE,TRUE,America/New_York,2,43610 43604 43608 43609 43605 43606 43611 43614 43612 43613 43615 43607 43623 43620 43603 43635 43697 43699 43652 43656 43657 43659 43660 43661 43666 43667 43681 43682 43405 43601,1840000572
Port St. Lucie,Port St. Lucie,FL,Florida,12111,St. Lucie,27.2796,-80.3884,493825,753,shape,FALSE,TRUE,America/New_York,2,34953 34987 34952 34984 34986 34983 34985,1840015119
Madison,Madison,WI,Wisconsin,55025,Dane,43.0822,-89.393,470689,1283.7,shape,FALSE,TRUE,America/Chicago,2,53715 53792 53711 53714 53726 53704 53706 53713 53716 53717 53718 53705 53719 53703 53701 53707 53708 53725 53702 53774 53777 53782 53783 53784 53785 53786 53788 53790 53793 53794,1840002915
Kissimmee,Kissimmee,FL,Florida,12097,Osceola,28.3041,-81.4169,470667,1460.9,shape,FALSE,TRUE,America/New_York,2,34743 34746 34741 34744 34745,1840015109
Little Rock,Little Rock,AR,Arkansas,5119,Pulaski,34.7256,-92.3577,466334,647.9,shape,FALSE,TRUE,America/Chicago,2,72201 72211 72206 72223 72103 72209 72210 72202 72207 72204 72212 72227 72205 72215 72217 72219 72222 72225 72231 72260 72255 72295,1840015509
Bonita Springs,Bonita Springs,FL,Florida,12071,Lee,26.3558,-81.7859,452793,561.7,shape,FALSE,TRUE,America/New_York,2,34134 34135 33931,1840014227
Winston-Salem,Winston-Salem,NC,North Carolina,37067,Forsyth,36.1029,-80.261,443598,727.9,shape,FALSE,TRUE,America/New_York,2,27109 27110 27040 27103 27104 27127 27105 27101 27107 27106 27102 27113 27114 27115 27116 27117 27120 27130 27111 27150 27152 27155 27157 27198 27199 27108,1840015324
Augusta,Augusta,GA,Georgia,13245,Richmond,33.3645,-82.0708,439238,257.4,shape,FALSE,TRUE,America/New_York,2,30906 30815 30812 30912 30905 30805 30901 30907 30909 30904 30903 30914 30916 30917 30919 30999,1840029462
Springfield,Springfield,MA,Massachusetts,25013,Hampden,42.1155,-72.5395,439199,1874.8,shape,FALSE,TRUE,America/New_York,2,01144 01128 01109 01129 01107 01118 01108 01151 01119 01104 01103 01105 01101 01102 01115 01138 01139 01111 01199 01152,1840000466
Durham,Durham,NC,North Carolina,37063,Durham,35.9792,-78.9022,420564,947,shape,FALSE,TRUE,America/New_York,2,27703 27707 27713 27705 27712 27708 27704 27701 27715 27717 27722 27710 27706,1840013364
Pensacola,Pensacola,FL,Florida,12033,Escambia,30.4413,-87.1911,418489,916.1,shape,FALSE,TRUE,America/Chicago,2,32503 32501 32502 32504 32513 32522 32524 32591,1840015005
Chattanooga,Chattanooga,TN,Tennessee,47065,Hamilton,35.066,-85.2481,415927,503.9,shape,FALSE,TRUE,America/New_York,2,37450 37405 37411 37351 37403 37407 37404 37410 37402 37408 37406 37421 37415 37416 37419 37409 37343 37401 37414 37424,1840014569
Fayetteville,Fayetteville,AR,Arkansas,5143,Washington,36.0714,-94.1661,408133,700.3,shape,FALSE,TRUE,America/Chicago,2,72701 72704 72703 72702,1840013368
Lancaster,Lancaster,PA,Pennsylvania,42071,Lancaster,40.042,-76.3012,407719,3083.5,shape,FALSE,TRUE,America/New_York,2,17603 17602 17601 17608 17622 17699,1840003718
Greenville,Greenville,SC,South Carolina,45045,Greenville,34.8354,-82.3646,402612,929.4,shape,FALSE,TRUE,America/New_York,2,29614 29607 29605 29601 29609 29602 29603 29604 29612 29616,1840013501
Syracuse,Syracuse,NY,New York,36067,Onondaga,43.0407,-76.1437,402509,2255.4,shape,FALSE,TRUE,America/New_York,2,13203 13244 13205 13204 13202 13210 13290 13208 13224 13214 13206 13207 13201 13217 13218 13221 13235 13261 13252,1840000378
Trenton,Trenton,NJ,New Jersey,34021,Mercer,40.2237,-74.7641,375343,4585.6,shape,FALSE,TRUE,America/New_York,2,08629 08638 08608 08618 08609 08611 08601 08603 08604 08605 08607 08625 08645 08646 08647 08666 08695,1840001383
Huntsville,Huntsville,AL,Alabama,1089,Madison,34.6981,-86.6412,368074,381.9,shape,FALSE,TRUE,America/Chicago,2,35896 35824 35756 35741 35806 35810 35811 35816 35763 35757 35802 35805 35801 35803 35742 35762 35804 35807 35814 35815 35893 35894 35895 35897 35899 35809,1840005061
Scranton,Scranton,PA,Pennsylvania,42069,Lackawanna,41.4044,-75.6649,366238,1160,shape,FALSE,TRUE,America/New_York,2,18503 18509 18504 18507 18508 18505 18510 18540 18515,1840003389
